tema_canonico,disciplina,especialidade,unidade,prioridade,forca_fonte,risco_clinico,evidencia_de_prova,source_ids,nota
"Farmacoterapia do diabetes mellitus I — antidiabéticos não secretagogos (biguanidas, glitazonas, iSGLT2, acarbose)",EISA_II,Farmacologia / Endocrinologia,I_UNIDADE,alta,forte,alto,False,Farmacoterapia_no_Diabetes__a25f0bdd34|P7_FAMENE_FARMACOTERAPIA_DO_DIABETES_2025_1_1a_aula__52271174b7,"FATO lido: metformina cp 500/850/1000 e XR; ↓GJ 20-30%, ↓HbA1c 1-2%; acidose láctica e contraindicações (IR, IC, sepse, contraste iodado, >65a, inibidores da anidrase carbônica/topiramato, álcool, hepatopatia); suspeitar com mal-estar, mialgia, taquipneia, lactato >5 mmol/L. Pioglitazona 15/30/45 mg: edema, ↑ICC, fraturas em mulheres, CA de bexiga, hepatotoxicidade, evitar TFG<15; CI em IC III/IV e gestação. iSGLT2 (dapa 10, empa 10-25, cana 100-300 mg): ↓HbA1c 0,7-1,0%, ↓morte CV 38%, ↓hospitalização por IC 35%, ITU/genital, cetoacidose, CI em IR grave. Acarbose 50/100 mg 3x/dia para hipergli"
"Farmacoterapia do diabetes mellitus II — secretagogos e incretinomiméticos (sulfonilureias, glinidas, iDPP-4, agonistas GLP-1, agonistas duais)",EISA_II,Farmacologia / Endocrinologia,I_UNIDADE,alta,forte,alto,False,Farmacoterapia_no_Diabetes__a25f0bdd34|P7_FAMENE_FARMACOTERAPIA_DO_DIABETES_2025_1_2a_aula__09f55ba2de,"FATO: glibenclamida cp 5 mg, dose inicial 2,5-5 mg/dia — evitar em IR e idoso, maior risco de hipoglicemia grave, ↑peso 1,7 kg; glimepirida 1-6 mg, baixo potencial de hipoglicemia mas ↑peso 4,0 kg; gliclazida 30/60/80 mg, maior seletividade β, não interfere no KATP cardíaco, mais indicada na IR, ↑peso 0,7 kg; clorpropamida (1ª ger) duração >48 h e risco de coma hipoglicêmico. Linagliptina é a única iDPP-4 sem ajuste na IR (excreção biliar); saxagliptina e alogliptina ↑internação por IC (SAVOR-TIMI). Tabela completa de aGLP-1 com via/dose/benefício CV comprovado (liraglutida, semaglutida SC, du"
"Insulinoterapia — classificação por tempo de ação, perfis farmacocinéticos e efeitos adversos",EISA_II,Farmacologia / Endocrinologia,I_UNIDADE,alta,forte,alto,False,Farmacoterapia_no_Diabetes__a25f0bdd34|P7_FAMENE_FARMACOTERAPIA_DO_DIABETES_2025_1_2a_aula__09f55ba2de,"FATO: ultrarrápidas (lispro, asparte, glulisina) início <15 min, pico 30-90 min, duração 3-4 h, aplicar 15 min antes/durante a refeição; regular início 30-60 min, pico 120-180 min, aplicar 30 min antes, variabilidade de absorção ~25%; NPH início 1-4 h, pico 4-10 h, variabilidade ~50%, maior risco de hipoglicemia noturna e hiperglicemia de jejum; detemir/glargina sem pico 20-24 h (detemir 2x/dia, glargina e degludeca 1x/dia); degludeca início 30-90 min, duração 36-42 h. CONFLITO INTRA-FONTE: o texto corrido diz NPH duração 12-18 h e a tabela da mesma aula diz 10-16 h. Terapia intensiva ↓76% ret"
Farmacoterapia das convulsões — anticonvulsivantes por mecanismo e escolha por tipo de crise,EISA_II,Farmacologia / Neurologia,IV_UNIDADE,alta,forte,alto,True,Anticonvulsivantes_III_unidade__33c7d91e0b|FAMENE_FARMACOTERAPIA_DAS_CONVULSO_ES_2024_2__f60caaf147|resumed_sa_de_do_adulto_2__f8fd0b8d31,"FATO: classificação por mecanismo (canal de Na+: fenitoína, carbamazepina, lamotrigina, oxcarbazepina, topiramato, valproato; canal de Ca2+: lamotrigina, valproato, gabapentina, etossuximida; moduladores GABAA: BZD, fenobarbital, primidona, topiramato; inibidores de captação/GABA-T: tiagabina, vigabatrina, valproato; anti-NMDA: felbamato). Fenitoína tem cinética NÃO LINEAR — hiperplasia gengival, hirsutismo, nistagmo/diplopia/ataxia, arritmia se EV; carbamazepina tem relação linear, risco de anemia aplásica e hepatotoxicidade. Valproato: insuficiência hepática fatal (risco maior em <2 anos e e | CONFLITO DE EIXO: banner interno 'SAÚDE DO ADULTO II – FARMACOLOGIA – III UNIDADE' e pasta III UNIDADE/Farmacologia; MAS o slide correspondente está em FARMACOLOGIA/Slides Aulas/Slides QUARTA Prova"
Estado de mal epiléptico — sequência terapêutica e doses,EISA_II,Farmacologia / Neurologia (emergência),IV_UNIDADE,alta,forte,alto,False,FAMENE_FARMACOTERAPIA_DAS_CONVULSO_ES_2024_2__f60caaf147,"FATO (literal da fonte): definição = crise tônico-clônica com duração >5 min. Escada: (1) diazepam 10 mg em adultos e 0,3 mg/kg em crianças, em bolus, pode repetir após 10 min; (2) fenitoína 15-20 mg/kg em 100 mL de SF, infusão contínua 50 mg/min — atenção a cardiopatas; (3) fenobarbital 10-20 mg/kg em 100 mL de SF, infusão contínua 100 mg/min; (4) tiopental 3 mg/kg ou propofol 2 mg/kg. ATENÇÃO DO VALIDADOR: essas doses/velocidades devem ser conferidas contra diretriz atual antes de virar cápsula — a fonte é slide de 2024.2 e a skill não pode propagar dose errada."
Anticonvulsivantes na gestação — teratogenicidade e escolha,EISA_II,Farmacologia / Neurologia-Obstetrícia,IV_UNIDADE,media,media,alto,False,FAMENE_FARMACOTERAPIA_DAS_CONVULSO_ES_2024_2__f60caaf147,"FATO: valproato, fenobarbital, topiramato e BZD têm maior potencial teratogênico; 2-3% de malformações com carbamazepina, fenitoína, lamotrigina e levetiracetam. Fenda palatina com topiramato/fenobarbital/valproato; defeitos cardíacos com fenobarbital/valproato; APENAS o valproato causou hipospádia, defeitos do tubo neural, déficit cognitivo e TEA. Opções na gestante segundo a fonte: levetiracetam, carbamazepina, lamotrigina, fenitoína."
"Avaliação laboratorial em nefrologia (urinálise, TFG, proteinúria)",EISA_II,Nefrologia,I_UNIDADE,alta,forte,medio,True,3_DiagnA_stico_laboratorial_em_nefrologia_1___356124c454|3_DiagnA_stico_laboratorial_em_nefrologia__5f2f478f29|APOSTILA_SA_II_P7___e43cc7bc21|AVALIAC_A_O_LABORATORIAL_EM_NEFROLOGIA__4419b29eb0|DIAG_SIND_DIAG_LAB_2024_2__048561d4fc,3_DiagnA_stico_laboratorial_em_nefrologia e _1 são DUPLICATA EXATA (13656 chars). Referência oficial da prova = Riella.
Avaliação por imagem em nefrologia,EISA_II,Nefrologia,I_UNIDADE,alta,media,medio,True,2_Exames_de_imagem_na_Nefrologia__d17a2c74cb|APOSTILA_SA_II_P7___e43cc7bc21|Avaliac_a_o_por_imagem_em_nefrologia__e68258f0dd|Diagno_stico_radiolo_gico_I_unidade__c66744abff|resumed_sa_de_do_adulto_2__f8fd0b8d31,"O slide da aula é ESCANEADA (28 pg) e só recuperou títulos. Diagno_stico_radiolo_gico_I_unidade é NATIVA e FORA do meu dossiê (pasta 'Resumos das Unidades'). | RESUmed cap. 38 (DIAGNÓSTICO POR IMAGEM EM NEFROLOGIA) cobre o mesmo. FATO: TFG normal 100–120, perda fisiológica de 1 ml/min/ano após os 40."
Como e quando encaminhar para o nefrologista,EISA_II,Nefrologia,A_DEFINIR,media,forte,medio,False,APOSTILA_SA_II_P7___e43cc7bc21|PDF_Como_e_quando_encaminhar_para_o_nefrologista__6bcd9a270c,"23 pg NATIVA, integralmente legível."
Diagnóstico sindrômico em nefrologia,EISA_II,Nefrologia,I_UNIDADE,alta,media,medio,True,1_DiagnA_stico_das_sA_ndromes_nefrolA_gicas__542c6a898f|APOSTILA_SA_II_P7___e43cc7bc21|DIAG_SIND_DIAG_LAB_2024_2__048561d4fc|Diagnostico_Sindro_mico_pdf__738877900c|resumed_sa_de_do_adulto_2__f8fd0b8d31,"APOSTILA p.3-6 é a espinha dorsal. Slide DIAG SIND + DIAG LAB 2024.2 (87 pg, MISTA) é a aula da Profa. Cecília Neta. | Consolidei dois capítulos do RESUmed em um tema porque o slide do professor os ensina juntos. LACUNA: sem arquivo na árvore Resumos das Unidades — o único tema de nefro da I unidade lá é 'Diagnóstico radiológico'."
Doença renal crônica (DRC),EISA_II,Nefrologia,II_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|DRC_2024_1_1___ca05068d36|DRC_Doen_a_renal_cr_nica__2da7fa9f7a|Nefro_DOENC_A_RENAL_CRO_NICA__3429dee493|Nefrologia_DoenA_a_renal_crA_nica_I__3be337baf2|resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA DA MINHA FRENTE: nenhum arquivo de DRC na árvore Resumos das Unidades, embora 'Terapia renal substitutiva' (II unidade) dependa dela. Cobertura só por RESUmed cap. 17 ('DOENÇA RENAL CRÔNICA - Parte I' — o compilado tem apenas a PARTE I; a parte II não consta no sumário). Unidade é INFERÊNCIA. | Erro que mata: hipercalemia e acidose refratárias como indicação de diálise de urgência."
Doença renal na gestação / rim e gravidez,EISA_II,Nefrologia,A_DEFINIR,media,media,alto,False,Rim_e_Gravidez_2021_2__8e028aff9d|resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA DE UNIDADE. RESUmed cap. 6. Há sobreposição com o cap. 37 (LESÃO RENAL AGUDA), cujo corpo também trata da grávida — possível conflito de organização interna do compilado. | Ausência no sumário da apostila é o sinal mais forte de que saiu do programa — não decidir sozinho."
Doenças císticas renais,EISA_II,Nefrologia,A_DEFINIR,media,fraca,medio,False,APOSTILA_SA_II_P7___e43cc7bc21,LACUNA: única fonte é a apostila.
Glomerulopatias primárias,EISA_II,Nefrologia,III_UNIDADE,alta,forte,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|PDF_Glomerulopatias_1_s_2024_2__fe8a341554|glomerulopatias_em_ped_GNDA_e_SN__8da6c78621,glomerulopatias_em_ped_GNDA_e_SN é conteúdo PEDIÁTRICO cross-filed em NEFROLOGIA/Resumos (aula da prof. Liane Carvalho) — pertence a EISCA.
Glomerulopatias primárias e secundárias,EISA_II,Nefrologia,III_UNIDADE,alta,media,medio,False,resumed_sa_de_do_adulto_2__f8fd0b8d31,LACUNA GRAVE DA MINHA FRENTE: nenhum arquivo de glomerulopatias na árvore Resumos das Unidades. Note que as SECUNDÁRIAS têm slide fora de pasta de prova ('Glomerulopatias Secundarias - SAII-1.pdf') — a unidade das secundárias fica indeterminada mesmo com inferência.
Glomerulopatias secundárias,EISA_II,Nefrologia,III_UNIDADE,alta,forte,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Glomerulopatia_Secunda_ria__e2c6bd4d58|Glomerulopatias_Secund_rias__9af4f064dd|Glomerulopatias_Secundarias_SAII_1__1e7727c4b1,"Glomerulopatias_Secundarias_SAII_1 (MISTA, 20 pg) traz anotações de aula com as classes lúpicas — fonte de mais alto valor prático."
Hipertensão arterial nefrógena e renovascular,EISA_II,Nefrologia,III_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|DBHA_2020__deed973a25|resumed_sa_de_do_adulto_2__f8fd0b8d31,"Não há slide de aula. DBHA 2020 (143 pg, 713k chars) é diretriz genérica de HAS, não aula da disciplina — cobre o tema mas exige recorte. | LACUNA DE UNIDADE na minha frente — a inferência vem de outra árvore, não da minha."
Lesão renal aguda (LRA/IRA),EISA_II,Nefrologia,I_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Inju_ria_renal_aguda_II_unidade__6a138171d7|LRA_Les_o_renal_aguda_docx__7e5ef43e9f|Lesa_o_renal_aguda__0a0674f8cb|Nefrologia_LesA_o_Renal_Aguda__47a54c6e95|resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA: não existe slide de aula de LRA em nenhuma pasta 'Slides Prova'. Sustentação vem de resumos de terceiros + apostila. Inju_ria_renal_aguda_II_unidade é NATIVA e está FORA do dossiê. | LACUNA DE CORROBORAÇÃO: EISA II/NEFROLOGIA não tem slide de LRA em pasta de prova (só em Resumos). RESUmed cap. 37 (LESÃO RENAL AGUDA) — atenção, o trecho localizado no corpo do RESUmed aborda LRA NA GRÁVIDA, sugerindo que o capítulo se sobrepõe a 'Doença renal na gestação' (cap. 6). CONFLITO menor de escopo a verificar."
Nefropatia diabética / doença renal do diabetes,EISA_II,Nefrologia,III_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Doenc_a_renal_do_diabetes_III_unidade__a682b8eb7b|Nefro_NEFROPATIA_DIABE_TICA__01f9e16a5f,"Sem slide de aula. Doenc_a_renal_do_diabetes_III_unidade (NATIVA, 9 pg) está FORA do meu dossiê. | FATO relevante para a skill: a fonte afirma DRD como 1ª causa de DRC nos EUA e 2ª no Brasil (aqui a 1ª é HAS). LACUNA DE CORROBORAÇÃO: sem slide em pasta de prova de EISA II/NEFROLOGIA."
"Terapia renal substitutiva (hemodiálise, diálise peritoneal, transplante)",EISA_II,Nefrologia,II_UNIDADE,alta,media,alto,True,ANOTAC_O_ES_terapia_renal_substitutiva__08a0ff9a53|APOSTILA_SA_II_P7___e43cc7bc21,"LACUNA DE CORROBORAÇÃO: não há slide de TRS em nenhuma pasta de prova de EISA II/NEFROLOGIA. A unidade II vem SÓ da anotação da Karen (banner interno 'NEFROLOGIA – II UNIDADE' concorda com a pasta, mas é a mesma autora — não é fonte independente). | A única fonte boa (ANOTAÇÕES - terapia renal substitutiva, NATIVA, 4 pg) está FORA do meu dossiê. Li: indicação em DRC estágio 5 com sintomas refratários; anemia isolada NÃO indica diálise."
AVC hemorrágico,EISA_II,Neurologia,I_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|AVCH__6cde4df7bd|AVCH_pdf__e10bced55a|AVC_Hemorra_gico_pdf__d5089758a7|Neurologia_AVCH_1___9f26db1751|Neurologia_AVCH__111b013ac1|resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA DA MINHA FRENTE: a árvore Resumos das Unidades tem DOIS arquivos de AVC isquêmico e NENHUM de AVC hemorrágico, embora EISA II/NEUROLOGIA/Resumos tenha 4 arquivos de AVCH. Sem slide em pasta de prova → unidade indeterminada. RESUmed cap. 14. Parte do conteúdo aparece dentro do arquivo de TCE (hemorragia subaracnóidea, hematomas). | LACUNA: nenhum slide de aula. Neurologia_AVCH e Neurologia_AVCH_1 são DUPLICATA EXATA (21472 chars)."
AVC isquêmico — investigação etiológica e prevenção secundária,EISA_II,Neurologia,II_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|AVCI_investigac_a_o_etiolo_gica_II_unidade__314b910aaf|P7_AVC_Investigacao__3e99087656|resumed_sa_de_do_adulto_2__f8fd0b8d31,"MESMO CONFLITO do AVCI urgência: pasta diz II UNIDADE, slide 'P7 AVC Investigacao.pdf' está em Slides Primeira Prova. Fonte curta (4 pgs). | Slide ESCANEADA (23 pg) recuperou 2.668 chars com a classificação TOAST e os cortes de estenose (leve <50%, moderada 50-69%, grave >70%) — parcialmente aproveitável, mas exige VISÃO para o resto."
"AVC isquêmico: urgência, trombólise e trombectomia",EISA_II,Neurologia,I_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|AVCI_urge_ncia_neurolo_gica_II_unidade__bec5d0b3b8|P7_avc_1__5ccf1d6c11|resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA: não existe resumo dedicado de AVCi dentro do dossiê EISA II — todos os resumos de NEUROLOGIA/Resumos são de AVC HEMORRÁGICO. A melhor fonte textual (AVCI urgência neurológica, NATIVA) está FORA do dossiê. Referência oficial: guideline AHA + Nitrini 3ed. | CONFLITO DE UNIDADE (grave): a árvore Resumos põe em II UNIDADE (banner interno concorda), mas EISA II/NEUROLOGIA/Slides Aulas/Slides PRIMEIRA Prova contém 'P7 avc 1.pdf' e 'P7 AVC Investigacao.pdf'. II vs I — o sintetizador precisa arbitrar antes de usar isso em Plano de Guerra."
Cefaleias primárias e secundárias,EISA_II,Neurologia,I_UNIDADE,alta,forte,alto,True,3_Cefaleias__8e6ef3de3b|APOSTILA_SA_II_P7___e43cc7bc21|Cefaleia_I_unidade__9cd7639c6e|Cefaleia__44bc1a66d8|Cefaleias__ecf14a1a72|cefaleia_2023_ppt__42073aa2f8|resumed_sa_de_do_adulto_2__f8fd0b8d31,"RESUmed cap. 26 (CEFALEIAS) traz o conteúdo em formato de CASOS CLÍNICOS — útil para o modo Resolver Questão. | Risco alto pelos red flags (cefaleia em trovoada → HSA). Slide da Profa. Cláudia Barros (40 pg, MISTA)."
Coma e rebaixamento do nível de consciência,EISA_II,Neurologia,A_DEFINIR,alta,media,alto,False,APOSTILA_SA_II_P7___e43cc7bc21|Neuro_COMA__3d9a975464,LACUNA: nenhum slide de aula.
Demências,EISA_II,Neurologia,III_UNIDADE,alta,media,medio,True,APOSTILA_SA_II_P7___e43cc7bc21|Del_rium_e_dem_ncia_docx__14314da2e4|Deme_ncias_III_unidade__b4f6343c43|Deme_ncias__7cd0ec2067|Deme_ncias__be616163ac|Mariah_Carvalho_Mo_dulo_Sau_de_Mental__2b7d072985|Psiquiatria_TRANSTORNOS_MENTAIS_ORGA_NICOS_1___cafd7e9f74|Psiquiatria_TRANSTORNOS_MENTAIS_ORGA_NICOS__408a0a6c55|Transtornos_Org_nicos__65db2d2b7d|continuum_dementia_2024_1___06d08e6d0f|continuum_dementia_2024__b06e8198b8|resumed_sa_de_do_adulto_2__f8fd0b8d31,"Um dos poucos temas de Neurologia com unidade confirmada. RESUmed cap. 27. Keyword bate também em EISM 2ª prova — diferencial demência x depressão (pseudodemência) atravessa as duas disciplinas. | SOBREPOSIÇÃO DE FRENTE: o slide 'Demências.pdf' é de NEUROLOGIA, da profa. Cláudia Barros, e está solto na raiz de 'Slides Aulas' sem pasta de prova — pode pertencer a EISA II/Neurologia e não a EISM. O sintetizador deve decidir de que lado do currículo este tema mora; há risco de duplicação com a frente EISA II. Unidade indeterminada. PONTO DE RISCO ALTO PONTUAL dentro de tema de risco médio: SENSIB"
Distúrbios do movimento,EISA_II,Neurologia,A_DEFINIR,media,media,medio,False,APOSTILA_SA_II_P7___e43cc7bc21|Neuro_DISTA_RBIOS_DO_MOVIMENTO__5a0889bf9a|resumed_sa_de_do_adulto_2__f8fd0b8d31,LACUNA DE UNIDADE. Ponto de contato com Psiquiatria: parkinsonismo medicamentoso por antipsicóticos (tema mapeado na II unidade de EISM). | LACUNA: nenhum slide de aula na pasta NEUROLOGIA.
"Doenças neuromusculares (miastenia, Guillain-Barré, ELA, miopatias)",EISA_II,Neurologia,III_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Doenc_as_Neuromusculares_1___1f93a37c3e|Doenc_as_Neuromusculares_2___c1f6234f28|Doenc_as_neuromusculares_III_unidade__ea38d8f852|Doenc_as_neuromusculares__63e55fa0f2|doen_as_neuromusculares__68f8cae128,CONFLITO DE UNIDADE: pasta/banner = III UNIDADE/Neurologia; EISA II/NEUROLOGIA/Slides SEGUNDA Prova/'Doenças neuromusculares.pdf'. III vs II. | Slide ESCANEADA (32 pg) recuperou apenas 549 chars — praticamente só o roteiro de tópicos; exige VISÃO. Doenc_as_Neuromusculares_1 e _2 são DUPLICATA EXATA (6752 chars).
Epilepsia e crises epilépticas,EISA_II,Neurologia,II_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Epilepsia__c07e537396|P7_Epilepsia_pdff__4b408f8a34|resumed_sa_de_do_adulto_2__f8fd0b8d31,"Fronteira com FARMACOLOGIA: 'Anticonvulsivantes - III unidade' e a apostila p.107 tratam a farmacoterapia separadamente. | LACUNA DA MINHA FRENTE: não há arquivo de Epilepsia na árvore Resumos das Unidades — só o de Anticonvulsivantes (farmacologia, III unidade). Ou seja, a droga está mapeada e a doença não. RESUmed cap. 8."
Esclerose múltipla e doenças desmielinizantes,EISA_II,Neurologia,A_DEFINIR,media,media,medio,False,APOSTILA_SA_II_P7___e43cc7bc21|DOENC_AS_DESMIELINIZANTES_2020__d29f785e2b,Slide ESCANEADA (76 pg) recuperou 8.783 chars com estrutura da aula — parcialmente aproveitável. Ponte forte com Neuroftalmologia (neurite óptica).
Hipertensão intracraniana,EISA_II,Neurologia,A_DEFINIR,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|TRAUMATISMO_CRANIO_ENCEFALICO__a11286e20c|resumed_sa_de_do_adulto_2__f8fd0b8d31,LACUNA DE UNIDADE. RESUmed cap. 16. Conteúdo parcialmente absorvido pelos arquivos de TCE (brain swelling) e Neuroinfecção (edema). | Item próprio no sumário (p.70) mas sem material dedicado — vive dentro do slide de TCE e da apostila.
"Neuroinfecções (neurocisticercose, TB meningoencefálica, encefalite viral, neurotoxoplasmose, neuroesquistossomose, abscesso)",EISA_II,Neurologia/Infectologia,II_UNIDADE,alta,media,alto,False,APOSTILA_SA_II_P7___e43cc7bc21|NEUROINFECOES2021__6f14ede5b5|NeuroinfecA_A_o__aa487fc832|Neuroinfecc_a_o_II_unidade__1dd0d1591e,"CONFLITO DE UNIDADE (grave): pasta Resumos = II UNIDADE; EISA II/NEUROLOGIA/Slides Aulas/Slides QUARTA Prova/NEUROINFECOES2021.pdf. II vs IV. Como a árvore Resumos não tem IV UNIDADE, este é o indício mais forte de que a árvore da Karen é de um semestre com estrutura de 3 unidades e o curso atual tem 4. | ALERTA: o arquivo NEUROLOGIA/Resumos/'Neuroinfecção .docx' (source_id Neuroinfecc_a_o___d1056693b9) NÃO contém conteúdo médico — abri e é receita de bolo de limão, fofoca e BBB. Descartar. Não confundir com Neuroinfecc_a_o_II_unidade (NATIVA, legítimo, FORA do dossiê)."
Traumatismo cranioencefálico (TCE),EISA_II,Neurologia/Neurocirurgia,III_UNIDADE,alta,forte,alto,True,ANOTAC_O_ES_TCE__acecbecc79|APOSTILA_SA_II_P7___e43cc7bc21|TRAUMATISMO_CRANIO_ENCEFALICO__a11286e20c,"CONFLITO DE UNIDADE (grave): pasta/banner = III UNIDADE/Neurologia; MAS EISA II/NEUROLOGIA/Slides Aulas/Slides PRIMEIRA Prova/'TRAUMATISMO CRANIO-ENCEFALICO.pptx'. III vs I. | Slide MISTA (46 pg) com classificação por ECG (leve 14-15, moderado 9-13, grave ≤8). ANOTAÇÕES-TCE (NATIVA, 10 pg) está FORA do dossiê. Referência oficial: Nitrini 3ed."
Doenças oculares em endocrinologia (oftalmopatia de Graves e retinopatia diabética),EISA_II,Oftalmologia,II_UNIDADE,alta,fraca,alto,True,ANOTAC_O_ES_doenc_as_oculares_em_endocrinologia__4d2c534b12|APOSTILA_SA_II_P7___e43cc7bc21|Doen_as_oculares_na_endocrinologia__e1d3a14087|altera_oes_oculares_na_endocrinologia_2025__35d861290b,"CONFLITO DE UNIDADE: pasta Resumos = II UNIDADE/OFTALMOLOGIA; EISA II/OFTALMOLOGIA/Slides Aulas/Slides PRIMEIRA Prova/'alteraçoes oculares na endocrinologia 2025.pptx'. II vs I — e o slide é de 2025, mais recente que a anotação. Arquivo sem banner interno de unidade. | Slide 2025 da Dra. Daniela Toscano (46 pg). Referência oficial das provas: Kanski, Oftalmologia Clínica."
Glaucoma e catarata,EISA_II,Oftalmologia,A_DEFINIR,media,media,alto,False,resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA DE UNIDADE. As pastas de prova de EISA II/OFTALMOLOGIA cobrem 'alterações oculares na endocrinologia' (1ª), 'doença ocular na infância' (2ª) e 'neuroftalmologia' (3ª) — nenhuma menciona glaucoma/catarata, o que sugere que este capítulo do RESUmed pode ser de OUTRO período/currículo. CONFLITO potencial de escopo."
"Neuroftalmologia (neuropatias ópticas, papiledema, pupilas)",EISA_II,Oftalmologia,III_UNIDADE,alta,forte,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Doen_a_oculares_em_neurologia__3c0062fa7b|Doenc_as_oculares_em_neurologia_docx_pdf__841a3e749f|No_es_de_Neuroftalmologia__73862bfddf,Slide da Dra. Daniela Toscano 2024 (46 pg). O resumo Doen_a_oculares_em_neurologia é tabela comparativa — excelente para revisão rápida.
Sarcoma de partes moles,EISA_II,Oncologia,A_DEFINIR,media,media,medio,False,APOSTILA_SA_II_P7___e43cc7bc21|Sarcoma_de_Partes_Moles__1620b750e0|resumed_sa_de_do_adulto_2__f8fd0b8d31|sarcoma_de_partes_moles_onco_geral__60ed920345,LACUNA DE UNIDADE. Registrado apenas para o sintetizador saber que existe e que está fora do mapa de unidades. | LACUNA: a pasta ONCOLOGIA não tem NENHUMA subpasta de slides — só 7 resumos.
Tumores do sistema nervoso central,EISA_II,Oncologia,A_DEFINIR,media,media,medio,True,APOSTILA_SA_II_P7___e43cc7bc21|Neuro_TUMOR_DO_SNC__5de63a625b|Patololgia_TUMORES_DE_SNC__9db263f597|Patololgia_TUMORES_DE_SNC__dae7582db7|Tumores_do_SNC_1___85b753e170|Tumores_do_SNC_Oncologia_docx__489dde748a|Tumores_do_SNC__f8f8838eb0|tumores_do_SNC_onco_geral__4d5d871f65,"LACUNA: nenhum slide. Patololgia_TUMORES_DE_SNC aparece DUPLICADO em NEUROLOGIA/Resumos e PATOLOGIA/Resumos (mesmo conteúdo, 10.702 chars) — 1 fonte, não 2. Referência oficial: Tratado de Oncologia (Hoff)."
Neoplasias urológicas (neoplasia vesical e tumores uroteliais),EISA_II,Oncologia/Urologia,A_DEFINIR,media,media,medio,False,resumed_sa_de_do_adulto_2__f8fd0b8d31,LACUNA ESTRUTURAL: a especialidade ONCOLOGIA não aparece NENHUMA vez na árvore Resumos das Unidades e não tem pastas de prova em EISA II. Unidade completamente indeterminada para toda a Oncologia.
Anatomia do osso temporal e anatomofisiologia da audição,EISA_II,Otorrinolaringologia,A_DEFINIR,alta,forte,baixo,True,Anato_fisiologia_da_Audic_a_o_pdf__d6c2a10b5e|Anatomia_e_Fisiologia_da_AudiA_A_o_Surdez_e_Vertigem__62cabda0e6|Anatomofisiologia_da_audi_o__1a48a52fc9|Questo_es_otorrino_P7_pdf__253a0ca7f1|anatomia_osso_temporal__6f71ef392c,"Fontes NATIVAS de altíssima densidade (51.521 e 41.306 chars — são capítulos, não slides). Mas ver CONFLITO: Otorrino está AUSENTE do sumário da apostila."
Doenças da orelha externa,EISA_II,Otorrinolaringologia,A_DEFINIR,media,forte,medio,True,Otorrino_OTITES__abf617dabb|donec_a_da_orelha_externa__bce942b498,É a fonte de maior densidade textual da Otorrino.
"Otites (aguda, média crônica e externa)",EISA_II,Otorrinolaringologia,A_DEFINIR,alta,forte,alto,True,Otorrino_OTITES__abf617dabb|Questo_es_otorrino_P7_pdf__253a0ca7f1|donec_a_da_orelha_externa__bce942b498|otite_media_cronica__8dea16ba12,Do arquivo de questões: otite externa → ciprofloxacino/levofloxacino ou cefuroxima (criança); otite média → cefuroxima ou amoxicilina+clavulanato; agente da síndrome de Ramsay Hunt = varicela-zóster. Risco alto por complicações intracranianas (a caixa timpânica comunica com a fossa média).
Surdez e vertigem,EISA_II,Otorrinolaringologia,A_DEFINIR,media,media,medio,True,Anatomia_e_Fisiologia_da_AudiA_A_o_Surdez_e_Vertigem__62cabda0e6|Questo_es_otorrino_P7_pdf__253a0ca7f1|Surdez_e_Vertigem__21211b898b,O recorte 'não vai cair' vale para o semestre daquele arquivo — o sintetizador deve decidir se ainda se aplica. Surdez pós-meningite continua sendo pergunta registrada.
Patologia do câncer de tireoide,EISA_II,Patologia,A_DEFINIR,media,fraca,medio,False,APOSTILA_SA_II_P7___e43cc7bc21,LACUNA: fonte única (apostila). Não há slide de patologia de tireoide na pasta PATOLOGIA.
